occupation - Split 1,education - Split 1,education - Split 2,education - Split 3,education - Split 4,education - Split 5,almamater - Split 1,almamater - Split 2,almamater - Split 3,almamater - Split 4,name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,Gender,occupation,political_party
Entertainment and Show Business,,,,,,,,,,Christian Slater,https://en.wikipedia.org/wiki/Christian_Slater,49,U.S.,New York,New York City,American,,,M,"['Actor', 'voice actor', 'producer']",
Entertainment and Show Business,,,,,,,,,,James Spader,https://en.wikipedia.org/wiki/James_Spader,58,U.S.,Massachusetts,Boston,American,,,M,['Actor'],
Entertainment and Show Business,,,,,,,,,,Colin Hanks,https://en.wikipedia.org/wiki/Colin_Hanks,40,U.S.,California,Sacramento,American,,,M,"['Actor', 'director', 'producer']",
Entertainment and Show Business,,,,,,,,,,Charlie Day,https://en.wikipedia.org/wiki/Charlie_Day,42,U.S.,New York,New York City,American,,,M,"['Actor', 'screenwriter', 'producer', 'comedian', 'musician']",
Entertainment and Show Business,,,,,,,,,,Matthew Broderick,https://en.wikipedia.org/wiki/Matthew_Broderick,56,U.S.,New York,New York City,American,,,M,['Actor' 'singer'],
Entertainment and Show Business,,,,,,,,,,Henry Rollins,https://en.wikipedia.org/wiki/Henry_Rollins,57,U.S.,D.C.,Washington,American,,,M,"['Actor', 'singer']",
Entertainment and Show Business,,,,,,,,,,Robert De Niro,https://en.wikipedia.org/wiki/Robert_De_Niro,75,U.S.,New York,New York City,American,,,M,"['Actor', 'producer', 'director']",
Entertainment and Show Business,,,,,,,,,,Burt Reynolds,https://en.wikipedia.org/wiki/Burt_Reynolds,82,U.S.,Michigan,Lansing,American,,,M,"['Actor', 'director', 'producer']",
Entertainment and Show Business,,,,,,,,,,Ethan Hawke,https://en.wikipedia.org/wiki/Ethan_Hawke,47,U.S.,Texas,Austin,American,,,M,"['Actor', 'director', 'screenwriter', 'novelist']",
Entertainment and Show Business,,,,,,,,,,Elijah Wood,https://en.wikipedia.org/wiki/Elijah_Wood,37,U.S.,Iowa,Cedar Rapids,American,,,M,"['Actor', 'voice actor', 'DJ', 'film producer']",
Entertainment and Show Business,,,,,,,,,,Morgan Freeman,https://en.wikipedia.org/wiki/Morgan_Freeman,81,U.S.,Tennessee,Memphis,American,,,M,['Actor'],
Entertainment and Show Business,,,,,,Georgetown University,,,,Nick Kroll,https://en.wikipedia.org/wiki/Nick_Kroll,40,U.S.,New York,New York City,American,['Georgetown University'],,M,"['Actor', 'comedian', 'writer', 'producer']",
Entertainment and Show Business,,,,,,University of Illinois at UrbanaChampaign,,,,Nick Offerman,https://en.wikipedia.org/wiki/Nick_Offerman,48,U.S.,Illinois,Minooka,American,['University of Illinois at UrbanaChampaign'],,M,"['Actor', 'writer', 'carpenter']",
Entertainment and Show Business,,,,,,Los Angeles Valley College,,,,Bryan Cranston,https://en.wikipedia.org/wiki/Bryan_Cranston,62,U.S.,California,Hollywood,American,['Los Angeles Valley College'],,M,"['Actor', 'producer', 'director', 'screenwriter']",
Journalists and Writers,,,,,,,,,,Jeffrey Cranor,,43,U.S.,New York,New York City,American,,,M,['Writer'],
Entertainment and Show Business,,,,,,Loyola Marymount University,,,,Scott Eastwood,https://en.wikipedia.org/wiki/Scott_Eastwood,32,U.S.,California,Monterey County,American,['Loyola Marymount University'],,M,"['Actor', 'model', 'producer', 'director']",
Entertainment and Show Business,,,,,,University of California,,,,Milo Ventimiglia,https://en.wikipedia.org/wiki/Milo_Ventimiglia,41,U.S.,California,Anaheim,American,"['University of California, Los Angeles']",,M,"['Actor', 'Producer']",
Entertainment and Show Business,,,,,,University of California,,,,Will Forte,https://en.wikipedia.org/wiki/Will_Forte,48,U.S.,California,Alameda County,American,"['University of California, Los Angeles']",,M,"['Actor', 'comedian', 'writer', 'producer']",
Entertainment and Show Business,,,,,,University of California,,,,Randall Park,https://en.wikipedia.org/wiki/Randall_Park,44,U.S.,California,Los Angeles,American,"['University of California, Los Angeles', ]",,M,"['Actor', 'comedian', 'writer']",
Entertainment and Show Business,,,,,,University of California,,,,Steve Martin,https://en.wikipedia.org/wiki/Steve_Martin,73,U.S.,Texas,Waco,American,"['University of California, Los Angeles']",,M,['Actor'],
Entertainment and Show Business,,,,,,San Francisco State University,Wayne State University,,,Jeffrey Tambor,https://en.wikipedia.org/wiki/Jeffrey_Tambor,74,U.S.,California,San Francisco,American,"['San Francisco State University', 'Wayne State University']",,M,"['Actor', 'voice artist', 'comedian']",
Entertainment and Show Business,,,,,,Brigham Young UniversityHawaii,Brigham Young University,,,Aaron Eckhart,https://en.wikipedia.org/wiki/Aaron_Eckhart,50,U.S.,California,Cupertino,American,"['Brigham Young UniversityHawaii', 'Brigham Young University']",,M,['Actor'],
Entertainment and Show Business,,,,,,University of South Carolina,Rutgers University,,,Mike Colter,https://en.wikipedia.org/wiki/Mike_Colter,42,U.S.,South Carolina,Columbia,American,"['University of South Carolina', 'Rutgers University']",,M,['Actor'],
Entertainment and Show Business,,,,,,New York University,Tisch School of Arts,,,Simon Helberg,https://en.wikipedia.org/wiki/Simon_Helberg,37,U.S.,California,Los Angeles,American,"['New York University', 'Tisch School of Arts']",,M,"['Actor', 'comedian', 'musician']",
Entertainment and Show Business,,,,,,University of Houston,University of San Diego,,,Jim Parsons,https://en.wikipedia.org/wiki/Jim_Parsons,45,U.S.,Texas,Houston,American,"['University of Houston', 'University of San Diego']",,M,['Actor'],
Entertainment and Show Business,,,,,,Saint Xavier University,Illinois State University,,,Craig Robinson,https://en.wikipedia.org/wiki/Craig_Robinson_(actor),47,U.S.,Illinois,Chicago,American,"['Saint Xavier University', 'Illinois State University']",,M,['Actor'],
