name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,occupation,political_party
Tom Hiddleston,https://en.wikipedia.org/wiki/Tom_Hiddleston,37,U.K.,London,Westminster,British,"['University of Cambridge', 'Royal Academy of Dramatic Art']","['Dragon School', 'Eton College']","['Actor, producer, musician']",
Laura Benanti,https://en.wikipedia.org/wiki/Laura_Benanti,39,U.S.,New York,New York City,American,,,"['Actress, singer']",
Adam Driver,https://en.wikipedia.org/wiki/Adam_Driver,34,U.S.,California,San Diego,American,['Juilliard School'],,['Actor'],
Rachel Bloom,https://en.wikipedia.org/wiki/Rachel_Bloom,31,U.S.,California, Los Angeles,American,['New York University'],,,
Eric Stonestreet,https://en.wikipedia.org/wiki/Eric_Stonestreet,47,U.S.,Kansas,Kansas City,American,['Kansas State University'],,"['Actor, comedian']",
Jason Jones,https://en.wikipedia.org/wiki/Jason_Jones_(actor),45,Canada,Ontario,Hamilton,Canadian,['Ryerson University'],,"['Actor, comedian']",
Elizabeth Warren,https://en.wikipedia.org/wiki/Elizabeth_Warren,69,U.S.,Oklahoma,Oklahoma City,American,,"['George Washington University', 'University of Houston', 'Rutgers UniversityNewark']",,Democratic
Sarah Paulson,https://en.wikipedia.org/wiki/Sarah_Paulson,43,U.S.,Florida,Tampa,American,['American Academy of Dramatic Arts'],,['Actress  Director'],
Tatiana Maslany,https://en.wikipedia.org/wiki/Tatiana_Maslany,33,Canada,Saskatchewan,Regina,Canadian,,,['Actress'],
Steve Buscemi,https://en.wikipedia.org/wiki/Steve_Buscemi,60,U.S.,New York,New York City,American,,,['Actor  director'],
Benjamin Walker,https://en.wikipedia.org/wiki/Benjamin_Walker_(actor),36,U.S.,Georgia,Cartersville,American,,['Juilliard School'],"['Actor,', 'standup comedian']",
Matthew Perry,https://en.wikipedia.org/wiki/Matthew_Perry,49,U.S.,Massachusetts,Williamstown,American,,"['Rockcliffe Park Public School', 'Ashbury College']","['Actor, comedian']",
Nick Offerman,https://en.wikipedia.org/wiki/Nick_Offerman,48,U.S.,Illinois,Minooka,American,['University of Illinois at UrbanaChampaign'],,['Actor  writer   carpenter'],
Melissa McCarthy,https://en.wikipedia.org/wiki/Melissa_McCarthy,48,U.S.,Illinois,Plainfield,American,,,['Actress  comedian  writer  producer  fashion designer'],
Ben Falcone,https://en.wikipedia.org/wiki/Ben_Falcone,45,U.S.,Illinois,Carbondale,American,,,"['Actor, comedian, filmmaker']",
Arianna Huffington,https://en.wikipedia.org/wiki/Arianna_Huffington,68,Greece,Athens, ,American,"['Girton College, Cambridge', 'Visva Bharati University']",,"['Journalist, entrepreneur']",
Anna Kendrick,https://en.wikipedia.org/wiki/Anna_Kendrick,33,U.S.,Maine,Portland,American,,['Deering High School'],"['Actress, singer, author']",
Sam Rockwell,https://en.wikipedia.org/wiki/Sam_Rockwell,49,U.S.,California,San Mateo County,American,['Ruth Asawa San Francisco School of the Arts'],,['Actor'],
David Duchovny,https://en.wikipedia.org/wiki/David_Duchovny,58,U.S.,New York,New York City,American,"['Princeton University', 'Yale University']",,"['Actor, director, producer, writer, singersongwriter']",
Mindy Kaling,https://en.wikipedia.org/wiki/Mindy_Kaling,39,U.S.,Massachusetts,Cambridge,American,['Dartmouth College'],['Buckingham Browne amp Nichols'],"['Actress, comedian, writer']",
Tituss Burgess,https://en.wikipedia.org/wiki/Tituss_Burgess,39,U.S.,Georgia,Athens,American,['University of Georgia'],,"['Actor, singer']",
Ken Burns,https://en.wikipedia.org/wiki/Ken_Burns,65,U.S.,New York,Brooklyn,American,['Hampshire College'],,['Filmmaker'],Democratic
Jesse Tyler Ferguson,https://en.wikipedia.org/wiki/Jesse_Tyler_Ferguson,43,U.S.,Montana,Missoula,American,,['American Musical and Dramatic Academy'],['Actor'],
Katharine McPhee,https://en.wikipedia.org/wiki/Katharine_McPhee,34,U.S.,California,Los Angeles,American,,,['Actress  singer  songwriter'],
Kevin Spacey,https://en.wikipedia.org/wiki/Kevin_Spacey,59,U.S.,New Jersey,South Orange,American,,['Juilliard School'],['Actor  producer  singer'],
Thomas Middleditch,https://en.wikipedia.org/wiki/Thomas_Middleditch,36,Canada,British Columbia,Nelson,Canadian,['University of Victoria'],,['Actor  screenwriter'],
