,name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,occupation,political_party
872,Ilana Glazer,https://en.wikipedia.org/wiki/Ilana_Glazer,31,U.S.,, ,,['New York University'],,,
873,Sam Richardson,https://en.wikipedia.org/wiki/Sam_Richardson_(actor),34,U.S.,Michigan,Detroit,American,,,"['Actor, writer, comedian']",
874,Milo Ventimiglia,https://en.wikipedia.org/wiki/Milo_Ventimiglia,41,U.S.,California,Anaheim,,"['University of California, Los Angeles']",,['Actor  Producer'],
875,Judy Greer,https://en.wikipedia.org/wiki/Judy_Greer,43,U.S.,Michigan,Detroit,,['DePaul University'],,['Actress  model  author'],
876,Scarlett Johansson,https://en.wikipedia.org/wiki/Scarlett_Johansson,33,U.S.,New York,New York City,,,,['Actress  singer'],
877,Bill Burr,https://en.wikipedia.org/wiki/Bill_Burr,50,U.S.,, ,,,,,
878,Seth Rogen,https://en.wikipedia.org/wiki/Seth_Rogen,36,Canada,British Columbia,Vancouver,,,,"['Actor', 'comedian', 'writer', 'producer', 'director']",
879,Kumail Nanjiani,https://en.wikipedia.org/wiki/Kumail_Nanjiani,40,Pakistan,Sindh,Karachi,,['Grinnell College'],,"['Standup comedian, actor, podcast host, writer']",
880,Ice Cube,https://en.wikipedia.org/wiki/Ice_Cube,49,U.S.,California,Los Angeles,,,,['Actor  Rapper'],
881,Marc Maron,https://en.wikipedia.org/wiki/Marc_Maron,55,U.S.,, ,,['Boston University'],,,
882,Jeffrey Tambor,https://en.wikipedia.org/wiki/Jeffrey_Tambor,74,U.S.,California,San Francisco,,"['San Francisco State University', 'Wayne State University']",,"['Actor, voice artist, comedian']",
883,John Benjamin Hickey,https://en.wikipedia.org/wiki/John_Benjamin_Hickey,55,U.S.,Texas,Plano,,,"['Texas State University, San Marcos', 'Fordham University', 'BA', 'Juilliard School', 'GrDip']",['Actor'],
884,Michael Keaton,https://en.wikipedia.org/wiki/Michael_Keaton,67,U.S.,Pennsylvania,Allegheny County,American,['Kent State University'],['Montour High School'],"['Actor, producer, director']",
885,Zoe Kazan,https://en.wikipedia.org/wiki/Zoe_Kazan,35,U.S.,California,Los Angeles,,['Yale University'],,['Actress  playwright  screenwriter'],
886,Eric Stonestreet,https://en.wikipedia.org/wiki/Eric_Stonestreet,47,U.S.,Kansas,Kansas City,,"['Kansas State University', '1996']",,"['Actor, comedian']",
887,John McEnroe,https://en.wikipedia.org/wiki/John_McEnroe,59,Germany,Hesse,presentday  Wiesbaden,,,,,
888,Josh Duhamel,https://en.wikipedia.org/wiki/Josh_Duhamel,45,U.S.,North Dakota,Minot,,"['Minot State University', 'BA']",,"['Actor, model']",
889,Justin Bartha,https://en.wikipedia.org/wiki/Justin_Bartha,40,U.S.,Florida,Fort Lauderdale,,['Tisch School of Arts'],,['Actor'],
890,Brian Greene,https://en.wikipedia.org/wiki/Brian_Greene,55,U.S.,New York,New York City,American,"['Harvard University', 'BA', 'University of Oxford', 'PhD']",,,
891,Naomi Watts,https://en.wikipedia.org/wiki/Naomi_Watts,50,England,Kent,Shoreham,,,,"['Actress, film producer']",
892,Ari Graynor,https://en.wikipedia.org/wiki/Ari_Graynor,35,U.S.,Massachusetts,Boston,American,['Trinity College'],['Buckingham Browne amp Nichols'],['Actress'],
893,Michael Keaton,https://en.wikipedia.org/wiki/Michael_Keaton,67,U.S.,Pennsylvania,Allegheny County,American,['Kent State University'],['Montour High School'],"['Actor, producer, director']",
894,John McEnroe,https://en.wikipedia.org/wiki/John_McEnroe,59,Germany,Hesse,presentday  Wiesbaden,,,,,
895,Woody Harrelson,https://en.wikipedia.org/wiki/Woody_Harrelson,57,U.S.,Texas,Midland,,,,"['Actor, playwright']",
896,Cobie Smulders,https://en.wikipedia.org/wiki/Cobie_Smulders,36,Canada,British Columbia,Vancouver,,,,['Actress  model'],
897,Joe Scarborough,https://en.wikipedia.org/wiki/Joe_Scarborough,55,U.S.,, ,American,"[['University of Alabama', 'University of Florida']]",,,Independent
898,Mika Brzezinski,https://en.wikipedia.org/wiki/Mika_Brzezinski,51,U.S.,New York,New York City,,,"['Georgetown University', 'Williams College', 'BA']","['News presenter', ', author']",
899,Andy Serkis,https://en.wikipedia.org/wiki/Andy_Serkis,54,England,Middlesex,Ruislip,,"['The County College, Lancaster']",,"['Actor, film director, film producer']",
900,John Oliver,https://en.wikipedia.org/wiki/John_Oliver,41,England,, ,,"['Christs College, Cambridge']",,,
901,Mike Birbiglia,https://en.wikipedia.org/wiki/Mike_Birbiglia,40,1, , ,American,,,,
902,Michael Showalter,https://en.wikipedia.org/wiki/Michael_Showalter,48,U.S., , ,,,,,
903,Ashton Kutcher,https://en.wikipedia.org/wiki/Ashton_Kutcher,40,U.S.,Iowa,Cedar Rapids,,,,"['Actor, producer, entrepreneur']",
904,Rob Corddry,https://en.wikipedia.org/wiki/Rob_Corddry,47,U.S.,Massachusetts,Weymouth,,,,['Actor  comedian'],
905,John Oliver,https://en.wikipedia.org/wiki/John_Oliver,41,England,, ,,"['Christs College, Cambridge']",,,
906,Woody Harrelson,https://en.wikipedia.org/wiki/Woody_Harrelson,57,U.S.,Texas,Midland,,,,"['Actor, playwright']",
907,Al Gore,https://en.wikipedia.org/wiki/Al_Gore,70,U.S.,, ,,,"['Harvard University', 'AB', 'Vanderbilt University']",,Democratic
908,Issa Rae,https://en.wikipedia.org/wiki/Issa_Rae,33,U.S.,California,Los Angeles,,['Stanford University'],,['Actress  writer  director  producer'],
909,Keegan-Michael Key,https://en.wikipedia.org/wiki/Keegan-Michael_Key,47,U.S.,Michigan,Southfield,,"[['University of Detroit Mercy', 'Pennsylvania State University']]",,"['Actor, comedian, writer, producer']",
910,Cillian Murphy,https://en.wikipedia.org/wiki/Cillian_Murphy,42,Ireland,County Cork,Douglas,Irish,"['Presentation Brothers College, Cork']",,['Actor'],
911,James McAvoy,https://en.wikipedia.org/wiki/James_McAvoy,39,Scotland  2,Glasgow, ,Scottish,['Royal Scottish Academy of Music and Drama'],,['Actor'],
912,Jason Bateman,https://en.wikipedia.org/wiki/Jason_Bateman,49,U.S.,New York,Rye,,,,['Actor  director  producer'],
913,Kenneth Branagh,https://en.wikipedia.org/wiki/Kenneth_Branagh,57,Northern Ireland,Belfast, ,British,['Royal Academy of Dramatic Art'],,['Actor  filmmaker'],
914,Cara Delevingne,https://en.wikipedia.org/wiki/Cara_Delevingne,26,England,London,Hammersmith,,,,['Actress  model'],
915,Paul Bettany,https://en.wikipedia.org/wiki/Paul_Bettany,47,"England , UK","London ,  a", ,,['Drama Centre London'],,['Actor'],
916,Laura Benanti,https://en.wikipedia.org/wiki/Laura_Benanti,39,U.S.,New York,New York City,,,,"['Actress, singer']",
917,Charlie Rose,https://en.wikipedia.org/wiki/Charlie_Rose,76,U.S.,North Carolina,Henderson,,"['Duke University', 'B.A. ,  J.D.']",,"['Talk show host, journalist']",
918,Jessica Williams,https://en.wikipedia.org/wiki/Jessica_Williams_(actress),29,U.S.  1,California,Los Angeles County,,"['California State University, Long Beach']",,"['Actress, comedian']",
919,Max Brooks,https://en.wikipedia.org/wiki/Max_Brooks,46,U.S.,New York,New York City,American,"['Pitzer College', 'B.A.', 'American University', '1994']",,['Author'],
920,Michael Moore,https://en.wikipedia.org/wiki/Michael_Moore,64,U.S.,Michigan,Flint,,['Davison High School'],,"['Filmmaker', ', author,', 'political activist', 'and actor']",
921,Sutton Foster,https://en.wikipedia.org/wiki/Sutton_Foster,43,U.S.,Georgia,Statesboro,,,,"['Actress, singer, dancer']",
922,Samantha Bee,https://en.wikipedia.org/wiki/Samantha_Bee,,Canada,Ontario,1969  age49   Toronto,,['University of Ottawa'],,,
923,Gillian Jacobs,https://en.wikipedia.org/wiki/Gillian_Jacobs,36,U.S.,Pennsylvania,Pittsburgh,,,"['Juilliard School', 'BFA']",['Actresscomedienne'],
924,Charlie Rose,https://en.wikipedia.org/wiki/Charlie_Rose,76,U.S.,North Carolina,Henderson,,"['Duke University', 'B.A. ,  J.D.']",,"['Talk show host, journalist']",
925,Jessica Williams,https://en.wikipedia.org/wiki/Jessica_Williams_(actress),29,U.S.  1,California,Los Angeles County,,"['California State University, Long Beach']",,"['Actress, comedian']",
926,Matthew McConaughey,https://en.wikipedia.org/wiki/Matthew_McConaughey,48,Texas  U.S.,Uvalde, ,,,,"['Actor, producer, model, writer and director']",
927,Vanessa Bayer,https://en.wikipedia.org/wiki/Vanessa_Bayer,36,U.S.,Ohio,Cleveland,,,['University of Pennsylvania'],"['Actress', 'Comedian']",
928,Senator Al Franken,https://en.wikipedia.org/wiki/Al_Franken,67,U.S.,New York,,,,"['Harvard University', 'BA']",,DemocraticFarmerLabor
929,Adam Conover,https://en.wikipedia.org/wiki/Adam_Conover,,United States,New York,Smithtown,American,['Bard College'],['ShorehamWading River High School'],"['Comedian, Writer, and Show Host']",
930,Dave Chappelle,https://en.wikipedia.org/wiki/Dave_Chappelle,45,U.S.,, ,,,,,
931,James Van Der Beek,https://en.wikipedia.org/wiki/James_Van_Der_Beek,41,U.S.,Connecticut,Cheshire,,,,['Actor'],
932,Joe Walsh,https://en.wikipedia.org/wiki/Joe_Walsh,70,U.S.,, ,,,,,
933,Anthony Mackie,https://en.wikipedia.org/wiki/Anthony_Mackie,40,U.S.,Louisiana,New Orleans,,,"['University of North Carolina School of the Arts', 'Juilliard School', 'BFA']",['Actor'],
934,Elizabeth Olsen,https://en.wikipedia.org/wiki/Elizabeth_Olsen,29,U.S.,California,Sherman Oaks,American,['New York University'],['Campbell Hall School'],['Actress'],
935,Al Franken,https://en.wikipedia.org/wiki/Al_Franken,67,U.S.,New York,,,,"['Harvard University', 'BA']",,DemocraticFarmerLabor
936,Laura Dern,https://en.wikipedia.org/wiki/Laura_Dern,51,U.S.,California,Los Angeles,,,,"['Actress, activist, director, producer']",
937,Leah Remini,https://en.wikipedia.org/wiki/Leah_Remini,48,U.S.,New York,Brooklyn,American,,,['Actress  singer  writer  activist  model'],
938,Christoph Waltz,https://en.wikipedia.org/wiki/Christoph_Waltz,62,Austria,Vienna, ,,['Max Reinhardt Seminar'],,"['Actor, director, voice actor']",
939,Chris O'Dowd,https://en.wikipedia.org/wiki/Chris_O%27Dowd,39,Ireland,County Roscommon,Boyle,,['London Academy of Music and Dramatic Art'],,['Actor'],
940,Sean Evans,https://en.wikipedia.org/wiki/Sean_Evans_(interviewer),32,U.S,, ,American,"['University of Illinois', '1']","['Broadcast Journalism major', '1']",,
941,Robert Pattinson,https://en.wikipedia.org/wiki/Robert_Pattinson,32,England,London,Barnes,British,,,"['Actor, musician']",
942,David Tennant,https://en.wikipedia.org/wiki/David_Tennant,47,Scotland,West Lothian,Bathgate,,,,"['Actor', 'voice actor']",
943,Niecy Nash,https://en.wikipedia.org/wiki/Niecy_Nash,48,U.S.  1,California,Compton,American,"['California State University, Dominguez Hills']",,"['Actress, comedian, television host, model, producer']",
944,Millie Bobby Brown,https://en.wikipedia.org/wiki/Millie_Bobby_Brown,14,Spain  1,Andalusia,Marbella,British,,,['Actress  model'],
945,Jim Jefferies,https://en.wikipedia.org/wiki/Jeff_Bridges,68,U.S.,California,Los Angeles,,,,"['Actor, singer, producer, composer']",
946,Dave Chappelle,https://en.wikipedia.org/wiki/Dave_Chappelle,45,U.S.,, ,,,,,
947,Chris O'Dowd,https://en.wikipedia.org/wiki/Chris_O%27Dowd,39,Ireland,County Roscommon,Boyle,,['London Academy of Music and Dramatic Art'],,['Actor'],
948,Anthony Scaramucci,https://en.wikipedia.org/wiki/Anthony_Scaramucci,54,U.S.,, ,,,"['Tufts University', 'BA', 'Harvard University', 'JD']",,Republican
949,Bob Odenkirk,https://en.wikipedia.org/wiki/Bob_Odenkirk,56,U.S.,Illinois,Berwyn,,['Southern Illinois University'],,['Actor  comedian  director  producer  writer'],
950,Daniel Craig,https://en.wikipedia.org/wiki/Daniel_Craig,50,England,Cheshire,Chester,English,['Guildhall School of Music and Drama'],,['Actor'],
951,Tiffany Haddish,https://en.wikipedia.org/wiki/Tiffany_Haddish,38,U.S.,, ,,,,,
952,Ellie Kemper,https://en.wikipedia.org/wiki/Ellie_Kemper,38,U.S.,Missouri,Kansas City,,,"['Princeton University', 'BA', 'Worcester College, Oxford']","['Actress, comedian']",
953,Andrew Dice Clay,https://en.wikipedia.org/wiki/Andrew_Dice_Clay,61,U.S.,, ,American,,,,
954,Peter Serafinowicz,https://en.wikipedia.org/wiki/Peter_Serafinowicz,46,England,Liverpool, ,,,,"['Actor, voice actor, comedian, writer']",
955,John Dickerson,https://en.wikipedia.org/wiki/John_Dickerson_(journalist),50,U.S.,D.C.,Washington,,['University of Virginia'],['Sidwell Friends School'],['Journalist  television host'],
956,Michael Rapaport,https://en.wikipedia.org/wiki/Michael_Rapaport,48,New York   U.S.,New York City, ,,,,"['Actor', 'Director', 'Podcast host', 'Comedian']",
957,Anthony Scaramucci,https://en.wikipedia.org/wiki/Anthony_Scaramucci,54,U.S.,, ,,,"['Tufts University', 'BA', 'Harvard University', 'JD']",,Republican
958,Tiffany Haddish,https://en.wikipedia.org/wiki/Tiffany_Haddish,38,U.S.,, ,,,,,
959,Maggie Gyllenhaal,https://en.wikipedia.org/wiki/Maggie_Gyllenhaal,40,U.S.,New York City,Manhattan,,"['Columbia University', 'Royal Academy of Dramatic Art']",,['Actress'],
960,Graham Norton,https://en.wikipedia.org/wiki/Graham_Norton,55,Ireland,Cork,Bandon,,,,['Presenter  comedian  actor  writer  commentator'],
961,Liev Schreiber,https://en.wikipedia.org/wiki/Liev_Schreiber,51,U.S.,California,San Francisco,,,"['Hampshire College', 'BA', 'Yale University', 'MFA']","['Actor, director, screenwriter, producer']",
962,Joe Buck,https://en.wikipedia.org/wiki/Joe_Buck,49,U.S.  1,Florida,St. Petersburg,,,"['Indiana University Bloomington', 'did not graduate']",,
963,Sonequa Martin-Green,https://en.wikipedia.org/wiki/Sonequa_Martin-Green,33,U.S.,Alabama,Russellville,,['University of Alabama'],,"['Actress, producer']",
964,Bernie Sanders,https://en.wikipedia.org/wiki/Bernie_Sanders,77,U.S.,, ,,,"['University of Chicago', 'BA']",,Independent
965,Caitriona Balfe,https://en.wikipedia.org/wiki/Caitriona_Balfe,39,Ireland,Dublin, ,,,,"['Actress, model']",
966,Jessica Biel,https://en.wikipedia.org/wiki/Jessica_Biel,36,U.S.  2,Minnesota,Ely,,['Tufts University'],['Fairview High School'],"['Actress, model, producer, singer']",
967,Sonequa Martin-Green,https://en.wikipedia.org/wiki/Sonequa_Martin-Green,33,U.S.,Alabama,Russellville,,['University of Alabama'],,"['Actress, producer']",
968,Hillary Clinton,https://en.wikipedia.org/wiki/Hillary_Clinton,71,U.S.,, ,,,"['Wellesley College', 'BA', 'Yale University', 'JD']",,Democratic
969,Emma Stone,https://en.wikipedia.org/wiki/Emma_Stone,29,U.S.,Arizona,Scottsdale,,,,['Actress'],
970,Jeff Bridges,https://en.wikipedia.org/wiki/Jeff_Bridges,68,U.S.,California,Los Angeles,,,,"['Actor, singer, producer, composer']",
971,Jeff Flake,https://en.wikipedia.org/wiki/Jeff_Flake,55,U.S.,, ,,,"['Brigham Young University', 'BA', 'MA']",,Republican
972,Jim Parsons,https://en.wikipedia.org/wiki/Jim_Parsons,45,U.S.,Texas,Houston,,"['University of Houston', 'University of San Diego']",,['Actor'],
973,Pamela Adlon,https://en.wikipedia.org/wiki/Pamela_Adlon,52,citation needed,"Albany, New York , U.S.", ,,,,"['Actress, screenwriter, producer, director']",
974,Bobby Moynihan,https://en.wikipedia.org/wiki/Bobby_Moynihan,41,U.S.,, ,,['University of Connecticut'],,,
975,Tatiana Maslany,https://en.wikipedia.org/wiki/Tatiana_Maslany,33,Canada,Saskatchewan,Regina,,,,['Actress'],
976,Sterling K. Brown,https://en.wikipedia.org/wiki/Sterling_K._Brown,42,U.S.,Missouri,St. Louis,,"['Stanford University', 'BA , 1998', 'New York University', 'MFA']",,['Actor'],
977,Chance the Rapper,https://en.wikipedia.org/wiki/Chance_the_Rapper,25,U.S.,Illinois,Chicago,,,,['Rapper  singer  songwriter  record producer  actor  philanthropist'],
978,Sofía Vergara,https://en.wikipedia.org/wiki/Sof%C3%ADa_Vergara,46,Colombia,Barranquilla, ,,,,['Actress  model  television host  producer'],
979,David Boreanaz,https://en.wikipedia.org/wiki/David_Boreanaz,49,U.S.,New York,Buffalo,,['Ithaca College'],,['Actor  producer  director'],
980,Ken Burns,https://en.wikipedia.org/wiki/Ken_Burns,65,U.S.,New York,Brooklyn,,['Hampshire College'],,['Filmmaker'],Democratic
981,Nick Kroll,https://en.wikipedia.org/wiki/Nick_Kroll,40,U.S.,New York City, ,,['Georgetown University'],,['Actor  comedian  writer  producer'],
982,Michael Bloomberg,https://en.wikipedia.org/wiki/Michael_Bloomberg,76,U.S.,Massachusetts,Boston,,,"['Johns Hopkins University', 'BS', 'Harvard University', 'MBA']",,Democratic
983,Steve Martin,https://en.wikipedia.org/wiki/Steve_Martin,73,U.S.,, ,,"['University of California, Los Angeles']",,,
984,Mark Feuerstein,https://en.wikipedia.org/wiki/Mark_Feuerstein,47,U.S.,New York,New York City,,,,,
985,Jerry Seinfeld,https://en.wikipedia.org/wiki/Jerry_Seinfeld,64,U.S.,, ,,"['SUNY Oswego', 'Queens College', 'BA']",['Massapequa High School'],,
986,Pierce Brosnan,https://en.wikipedia.org/wiki/Pierce_Brosnan,65,Ireland,County Louth,Drogheda,,,,"['Actor, singer, producer,', 'environmentalist']",
987,Jason Alexander,https://en.wikipedia.org/wiki/Jason_Alexander,59,U.S.,New Jersey,Newark,,,,"['Actor, voice actor, comedian, singer, director']",
988,Ta-Nehisi Coates,https://en.wikipedia.org/wiki/Ta-Nehisi_Coates,43,U.S.,Maryland,Baltimore,,,['Howard University'],"['Writer', 'Journalist']",
989,Michael Weatherly,https://en.wikipedia.org/wiki/Michael_Weatherly,50,U.S.,New York City, ,,,,"['Actor, producer, director']",
990,Natasha Leggero,https://en.wikipedia.org/wiki/Natasha_Leggero,44,U.S,, ,,"['Stella Adler Conservatory', 'Hunter College']",,,
991,Kerry Washington,https://en.wikipedia.org/wiki/Kerry_Washington,41,U.S.,New York,The Bronx,,['George Washington University'],['Spence School'],['Actress'],
992,Russell Brand,https://en.wikipedia.org/wiki/Russell_Brand,43,England,Essex,Grays,British,"['Italia Conti Academy of Theatre Arts', 'Drama Centre London']",,,Labour
993,Morgan Freeman,https://en.wikipedia.org/wiki/Morgan_Freeman,81,U.S.,Tennessee,Memphis,,,,['Actor'],
994,Grace Gummer,https://en.wikipedia.org/wiki/Grace_Gummer,32,U.S.,New York,New York City,,['Vassar College'],,['Actress'],
995,Kathy Bates,https://en.wikipedia.org/wiki/Kathy_Bates,70,U.S.,Tennessee,Memphis,American,,,"['Actress, director']",
996,Jackie Chan,https://en.wikipedia.org/wiki/Jackie_Chan,64,British Hong Kong,Victoria Peak, ,Hong Kong,['Peking Opera School'],,"['Martial artist, actor, director, producer, screenwriter, action choreographer, singer, stunt director, stunt performer']",
997,Bob Schieffer,https://en.wikipedia.org/wiki/Bob_Schieffer,81,U.S.,Texas,Austin,,,['Texas Christian University'],"['Journalist', 'Anchor']",
998,Tracee Ellis Ross,https://en.wikipedia.org/wiki/Tracee_Ellis_Ross,45,U.S.,California,Los Angeles,,['Brown University'],,"['Actress, model, comedian, television host, activist']",
999,Luke Evans,https://en.wikipedia.org/wiki/Luke_Evans_(actor),39,Wales,Pontypool, ,,['London Studio Centre'],,['Actor'],
1000,Andrew Garfield,https://en.wikipedia.org/wiki/Andrew_Garfield,35,U.S.,California,Los Angeles,,"['Royal Central School of Speech amp Drama', '1']",,['Actor'],
1001,Tracey Ullman,https://en.wikipedia.org/wiki/Tracey_Ullman,58,2   United Kingdom,a   England,Buckinghamshire,,,,['Actress  comedian  singer  dancer  screenwriter  producer  director  author  businesswoman'],
1002,Bill Murray,https://en.wikipedia.org/wiki/Bill_Murray,68,U.S.  1,Illinois,Evanston,,,,['Actor  comedian  writer'],
1003,Claire Foy,https://en.wikipedia.org/wiki/Claire_Foy,34,England,Greater Manchester,Stockport,,['Liverpool John Moores University'],,['Actress'],
1004,Conan O'Brien,https://en.wikipedia.org/wiki/Conan_O%27Brien,55,U.S.,, ,,['Harvard University'],,,
1005,Tig Notaro,https://en.wikipedia.org/wiki/Tig_Notaro,47,U.S.,, ,,,,,
1006,Anna Faris,https://en.wikipedia.org/wiki/Anna_Faris,41,U.S.,Maryland,Baltimore,,['University of Washington'],,"['Actress, producer, comedian, author, podcaster']",
1007,Amy Sedaris,https://en.wikipedia.org/wiki/Amy_Sedaris,57,U.S.,New York,Endicott,,,,['Actress  comedian  writer'],
1008,Jake Tapper,https://en.wikipedia.org/wiki/Jake_Tapper,49,U.S.,New York,New York City,American,['Dartmouth College'],,['Journalist'],Independent
1009,Shemar Moore,https://en.wikipedia.org/wiki/Shemar_Moore,48,U.S.,California,Oakland,,['Santa Clara University'],,"['Actor', ', model']",
1010,Hugh Laurie,https://en.wikipedia.org/wiki/Hugh_Laurie,59,England,Oxfordshire,Oxford,,"['Selwyn College, Cambridge']","['Dragon School', 'Eton College']","['Actor, director, musician, comedian, author']",
1011,Gretchen Carlson,https://en.wikipedia.org/wiki/Gretchen_Carlson,52,U.S.,Minnesota,Anoka,,['Stanford University'],,['Author  television host'],
1012,Julianne Moore,https://en.wikipedia.org/wiki/Julianne_Moore,57,U.S.,North Carolina,Fort Bragg,American,['Boston University'],,['Actor  childrens author'],
1013,Jermaine Fowler,https://en.wikipedia.org/wiki/Jermaine_Fowler,30,U.S.,D.C.,Washington,,,['Northwestern High School'],['Actor  writer  producer  comedian'],
1014,Dr. Phil,https://en.wikipedia.org/wiki/Phil_McGraw,68,U.S.,Oklahoma,Vinita,,"[['Midwestern State University', 'BA', 'University of North Texas', 'MA ,  PhD']]",,['Television host'],
1015,Captain Scott Kelly,https://en.wikipedia.org/wiki/Scott_Kelly_(astronaut),54,U.S.,, ,American,,,,
1016,Billy Eichner,https://en.wikipedia.org/wiki/Billy_Eichner,40,U.S.,, ,American,['Northwestern University'],['Stuyvesant High School'],,
1017,Anna Camp,https://en.wikipedia.org/wiki/Anna_Camp,36,U.S.,South Carolina,Aiken,,,['University of North Carolina School of the Arts'],"['Actress, singer']",
1018,Mark Ruffalo,https://en.wikipedia.org/wiki/Mark_Ruffalo,50,U.S.,Wisconsin,Kenosha,,,,"['Actor', 'producer', 'political activist']",Democratic
1019,Chris Matthews,https://en.wikipedia.org/wiki/Chris_Matthews,72,U.S.,Pennsylvania,Philadelphia,,,"['College of the Holy Cross', 'BA', 'University of North Carolina, Chapel Hill']",['News anchor political commentator'],Democratic
1020,Gilbert Gottfried,https://en.wikipedia.org/wiki/Gilbert_Gottfried,63,1, , ,,,,,
1021,Nicole Kidman,https://en.wikipedia.org/wiki/Nicole_Kidman,51,U.S.,Hawaii,Honolulu,,['Australian Theatre for Young People'],,['Actress  producer'],
1022,Jonathan Groff,https://en.wikipedia.org/wiki/Jonathan_Groff,33,U.S.,Pennsylvania,Lancaster,American,,['Conestoga Valley High School'],['Actor  singer'],
1023,Whoopi Goldberg,https://en.wikipedia.org/wiki/Whoopi_Goldberg,62,U.S.,, ,,,,,
1024,Kathryn Hahn,https://en.wikipedia.org/wiki/Kathryn_Hahn,45,U.S.,Illinois,Westchester,,,"['Northwestern University', 'BA', 'Yale University', 'MFA']","['Actress, fashion model and comedian']",
