,name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,occupation,political_party
714,Allison Williams,https://en.wikipedia.org/wiki/Allison_Williams_(actress),30,U.S.,Connecticut,New Canaan,,['Yale University'],,['Actress  singer'],
715,Cush Jumbo,https://en.wikipedia.org/wiki/Cush_Jumbo,33,England,London,Denmark Hill,,,,,
716,Connie Britton,https://en.wikipedia.org/wiki/Connie_Britton,51,U.S.,Massachusetts,Boston,,"['E. C. Glass High School', 'Dartmouth College', 'Beijing Normal University', 'Neighborhood Playhouse School of the Theatre']",,"['Actress, singer, producer']",
717,Zoey Deutch,https://en.wikipedia.org/wiki/Zoey_Deutch,23,U.S.,California,Los Angeles,,,,"['Actor, producer, activist']",
718,Josh Earnest,https://en.wikipedia.org/wiki/Josh_Earnest,43,U.S.,, ,,,"['Rice University', 'BA']",,Democratic
719,Lisa Kudrow,https://en.wikipedia.org/wiki/Lisa_Kudrow,55,U.S.,California,Los Angeles,American,['Vassar College'],['Taft High School'],"['Actress', 'voice actress', 'writer', 'comedian', 'producer']",
720,Patrick Stewart,https://en.wikipedia.org/wiki/Patrick_Stewart,78,England,Yorkshire,Mirfield,British,['Bristol Old Vic Theatre School'],,['Actor  voice actor'],Labour
721,Chris Colfer,https://en.wikipedia.org/wiki/Chris_Colfer,28,U.S.,California,Clovis,,,,"['Actor, singer, writer']",
722,Roy Wood Jr.,https://en.wikipedia.org/wiki/Roy_Wood_Jr.,39,U.S.,Alabama,Birmingham,American,['Florida AampM University'],,"['Comedian', 'actor', 'disc jockey']",
723,Hugh Jackman,https://en.wikipedia.org/wiki/Hugh_Jackman,50,Australia,New South Wales,Sydney,,"[['Western Australian Academy of Performing Arts', 'University of Technology, Sydney']]",,['Actor  singer  producer'],
724,Condola Rashād,https://en.wikipedia.org/wiki/Condola_Rash%C4%81d,31,U.S.,New York City, ,,,,,
725,Cate Blanchett,https://en.wikipedia.org/wiki/Cate_Blanchett,49,Australia,Victoria,Ivanhoe,,['National Institute of Dramatic Art'],,"['Actress', 'theatre director']",
726,Paul Rust,https://en.wikipedia.org/wiki/Paul_Rust,37,United States,Iowa,Le Mars,,,,"['Actor, comedian, writer']",
727,Anderson Cooper,https://en.wikipedia.org/wiki/Anderson_Cooper,51,U.S.,New York City, ,,['Yale University'],,['Journalist  author  anchor'],
728,Judd Apatow,https://en.wikipedia.org/wiki/Judd_Apatow,50,U.S.,New York,Queens,,['University of Southern California'],['Syosset High School'],"['Producer, writer, director, actor, standup comedian']",
729,Kevin Kline,https://en.wikipedia.org/wiki/Kevin_Kline,71,U.S.,Missouri,St. Louis,,,"['Indiana University, Bloomington', 'BA', 'Juilliard School', 'GrDip']","['Actor, singer']",
730,Jerrod Carmichael,https://en.wikipedia.org/wiki/Jerrod_Carmichael,31,U.S.,North Carolina,WinstonSalem,,,,['Comedian  writer  actor'],
731,Michael Hayden,https://en.wikipedia.org/wiki/Michael_Hayden_(general),73,U.S.,Pennsylvania,Pittsburgh,,,"['Duquesne University', 'BA ,  MA']",,Independent
732,Mark Halperin,https://en.wikipedia.org/wiki/Mark_Halperin,53,U.S.,New York,New York City,,,"['B.A.,', 'Harvard University', ', 1987']","['Anchor', 'Author', 'Columnist']",
733,John Heilemann,https://en.wikipedia.org/wiki/John_Heilemann,52,California  1,Los Angeles, ,United States of America,"['Northwestern University', 'Harvard University']",,"['Journalist', 'Anchor']",
734,Michael Ian Black,https://en.wikipedia.org/wiki/Michael_Ian_Black,47,U.S.,, ,American,,,,
735,Jackson Galaxy,https://en.wikipedia.org/wiki/Jackson_Galaxy,52,New York City, , ,American,,,"['Cat behaviorist', 'Television host']",
736,Kristen Stewart,https://en.wikipedia.org/wiki/Kristen_Stewart,28,U.S.,California,Los Angeles,,,,['Actress  director'],
737,Maz Jobrani,https://en.wikipedia.org/wiki/Maz_Jobrani,46,Iran, , ,IranianAmerican,,,,
738,Felicity Huffman,https://en.wikipedia.org/wiki/Felicity_Huffman,55,U.S.,New York,Bedford,,"['The Putney School', 'Interlochen Arts Academy', 'New York University']",,['Actress'],
739,Jurnee Smollett-Bell,https://en.wikipedia.org/wiki/Jurnee_Smollett-Bell,32,U.S.,New York,New York,,,,['Actress'],
740,Ewan McGregor,https://en.wikipedia.org/wiki/Ewan_McGregor,47,Scotland,Perth, ,,,,['Actor'],
741,Finn Wittrock,https://en.wikipedia.org/wiki/Finn_Wittrock,34,U.S.,Massachusetts,Lenox,,,"['Juilliard School', 'BFA']","['Actor, screenwriter']",
742,Neil deGrasse Tyson,https://en.wikipedia.org/wiki/Neil_deGrasse_Tyson,60,U.S.,New York City,Manhattan,,"[['Harvard College', 'BA', 'University of Texas at Austin', 'MA', 'Columbia University', 'MPhil ,  PhD']]",,,
743,Todd Barry,https://en.wikipedia.org/wiki/Todd_Barry,54,New York,The Bronx, ,,,,,
744,Jessica Lange,https://en.wikipedia.org/wiki/Jessica_Lange,69,U.S.,Minnesota,Cloquet,,,,['Actress  photographer'],
745,Bassem Youssef,https://en.wikipedia.org/wiki/Bassem_Youssef,44,Egypt, , ,,['Cairo University'],,,
746,Judy Gold,https://en.wikipedia.org/wiki/Judy_Gold,55,U.S.,New Jersey,Newark,,,,['Standup comedian'],
747,Bryan Cranston,https://en.wikipedia.org/wiki/Bryan_Cranston,62,U.S.,California,Hollywood,,['Los Angeles Valley College'],,"['Actor, producer, director, screenwriter']",
748,Audra McDonald,https://en.wikipedia.org/wiki/Audra_McDonald,48,Germany,West Berlin, ,,"['Juilliard School', 'BM , 1993']",,"['Actress, singer']",
749,Ryan Reynolds,https://en.wikipedia.org/wiki/Ryan_Reynolds,42,Canada,British Columbia,Vancouver,,,,['Actor  Producer'],
750,Josh Lucas,https://en.wikipedia.org/wiki/Josh_Lucas,47,U.S.,Arkansas,Fayetteville,,,,['Actor'],
751,Andy Daly,https://en.wikipedia.org/wiki/Andy_Daly,47,US,New York,Mount Kisco,,['Ithaca College'],,"['Actor, comedian, writer']",
752,Glenn Close,https://en.wikipedia.org/wiki/Glenn_Close,71,U.S.,Connecticut,Greenwich,,['College of William amp Mary'],,"['Actress, singer, producer']",
753,Michael McKean,https://en.wikipedia.org/wiki/Michael_McKean,71,U.S.,New York,New York City,,,,"['Actor, comedian, writer, composer, musician']",
754,H. Jon Benjamin,https://en.wikipedia.org/wiki/H._Jon_Benjamin,52,U.S.,, ,American,,,,
755,Lily Tomlin,https://en.wikipedia.org/wiki/Lily_Tomlin,79,U.S.,, ,,,,,
756,Jane Fonda,https://en.wikipedia.org/wiki/Jane_Fonda,80,U.S.,New York City, ,,['Vassar College'],,['Actress  writer  activist'],
757,Jay Chandrasekhar,https://en.wikipedia.org/wiki/Jay_Chandrasekhar,50,U.S.,Illinois,Chicago,American,"['Colgate University', 'Loyola University', 'withdrew']",['Lake Forest Academy'],"['Actor, comedian, writer, director']",
758,Hank Azaria,https://en.wikipedia.org/wiki/Hank_Azaria,54,U.S.,New York City,Queens,American,,,"['Actor, voice actor, comedian, producer']",
759,Kate Walsh,https://en.wikipedia.org/wiki/Kate_Walsh_(actress),51,U.S.,California,San Jose,,['University of Arizona'],,['Actress  businesswoman'],
760,Emma Roberts,https://en.wikipedia.org/wiki/Emma_Roberts,27,U.S.,New York,Rhinebeck,,,,['Actress  singer'],
761,Ken Jeong,https://en.wikipedia.org/wiki/Ken_Jeong,49,U.S.,, ,,"['Duke University', 'University of North Carolina at Chapel Hill', 'MD']",,,
762,Luke Bryan,https://en.wikipedia.org/wiki/Luke_Bryan,42,3, , ,,,,,
763,Dierks Bentley,https://en.wikipedia.org/wiki/Dierks_Bentley,42,U.S.,Arizona,Phoenix,,,,,
764,Marisa Tomei,https://en.wikipedia.org/wiki/Marisa_Tomei,53,U.S.,New York,Brooklyn,American,,,['Actress'],
765,Hugh Dancy,https://en.wikipedia.org/wiki/Hugh_Dancy,43,England,Staffordshire,StokeonTrent,,"['St Peters College, Oxford']",['Winchester College'],"['Actor, model']",
766,Susan Sarandon,https://en.wikipedia.org/wiki/Susan_Sarandon,72,U.S.,New York City, ,,['Catholic University of America'],,['Actress'],
767,Joey McIntyre,https://en.wikipedia.org/wiki/Joey_McIntyre,45,U.S., , ,,,,,
768,Robert Klein,https://en.wikipedia.org/wiki/Robert_Klein,76,U.S.,, ,,,"['Alfred University', 'BA', 'Yale University', 'MFA']",,
769,Jason Sudeikis,https://en.wikipedia.org/wiki/Jason_Sudeikis,43,U.S.,Virginia,Fairfax,,,,['Comedian actor screenwriter producer'],
770,Jennifer Esposito,https://en.wikipedia.org/wiki/Jennifer_Esposito,45,U.S.,New York,New York City,,,['Moore Catholic High School'],['Actress  author  baker  health advocate  businesswoman'],
771,Louis C.K.,https://en.wikipedia.org/wiki/Louis_C.K.,51,U.S.,, ,"['American', 'Mexican']",,,,
772,Ernie Johnson Jr.,https://en.wikipedia.org/wiki/Ernie_Johnson_Jr.,62,Wisconsin,Milwaukee, ,American,,"['University of Georgia', 'Bachelor of Arts in Journalism']","['OnAir Personality,', 'Turner Sports']",
773,Sigourney Weaver,https://en.wikipedia.org/wiki/Sigourney_Weaver,69,U.S.,New York,New York City,,,"['Sarah Lawrence College', 'Stanford University', 'BA', 'Yale University', 'MFA']",['Actress'],
774,Jon Favreau,https://en.wikipedia.org/wiki/Jon_Favreau_(speechwriter),37,U.S.,, ,,"['College of the Holy Cross', 'BA']",,,Democratic
775,Jon Lovett,https://en.wikipedia.org/wiki/Jon_Lovett,,U.S.,, ,,['Williams College'],,['Speechwriter  writer  producer'],
