guest_name,wiki_link
George Saunders,https://en.wikipedia.org/wiki/George_Saunders
Michelle Dockery,https://en.wikipedia.org/wiki/Michelle_Dockery
Hugh Bonneville,https://en.wikipedia.org/wiki/Hugh_Bonneville
Allen Leech,https://en.wikipedia.org/wiki/Allen_Leech
Adam McKay,https://en.wikipedia.org/wiki/Adam_McKay
Bruce Willis,https://en.wikipedia.org/wiki/Bruce_Willis
Michael Lewis,https://en.wikipedia.org/wiki/Michael_Lewis
Andrew Delbanco,https://en.wikipedia.org/wiki/Andrew_Delbanco
Lin-Manuel Miranda,https://en.wikipedia.org/wiki/Lin-Manuel_Miranda
Ike Barinholtz,https://en.wikipedia.org/wiki/Ike_Barinholtz
Jennifer Lawrence,https://en.wikipedia.org/wiki/Jennifer_Lawrence
Doris Kearns Goodwin,https://en.wikipedia.org/wiki/Doris_Kearns_Goodwin
Quentin Tarantino,https://en.wikipedia.org/wiki/Quentin_Tarantino
Jonathan Groff,https://en.wikipedia.org/wiki/Jonathan_Groff
Robert De Niro,https://en.wikipedia.org/wiki/Robert_De_Niro
Daniel Gilbert,https://en.wikipedia.org/wiki/Daniel_Gilbert_(psychologist)
Henry Rollins,https://en.wikipedia.org/wiki/Henry_Rollins
Michael Moore,https://en.wikipedia.org/wiki/Michael_Moore
Samantha Power,https://en.wikipedia.org/wiki/Samantha_Power
Mandy Patinkin,https://en.wikipedia.org/wiki/Mandy_Patinkin
Kayvon Beykpour,None
Samuel L. Jackson,https://en.wikipedia.org/wiki/Samuel_L._Jackson
Lisa Gross,None
Olivia Hallisey,https://en.wikipedia.org/wiki/Olivia_Hallisey
John Krasinski,https://en.wikipedia.org/wiki/John_Krasinski
Killer Mike,https://en.wikipedia.org/wiki/Killer_Mike
George Church,https://en.wikipedia.org/wiki/George_M._Church
Jerry Seinfeld,https://en.wikipedia.org/wiki/Jerry_Seinfeld
Rand Paul,https://en.wikipedia.org/wiki/Rand_Paul
Damian Lewis,https://en.wikipedia.org/wiki/Damian_Lewis
America Ferrera,https://en.wikipedia.org/wiki/America_Ferrera
Matthew Broderick,https://en.wikipedia.org/wiki/Matthew_Broderick
Sarah Parcak,https://en.wikipedia.org/wiki/Sarah_Parcak
Jane Lynch,https://en.wikipedia.org/wiki/Jane_Lynch
Julian Castro,https://en.wikipedia.org/wiki/Julian_Castro
Saoirse Ronan,https://en.wikipedia.org/wiki/Saoirse_Ronan
Jeremy Stoppelman,https://en.wikipedia.org/wiki/Jeremy_Stoppelman
Laura Ricciardi,https://en.wikipedia.org/wiki/Laura_Ricciardi
Moira Demos,https://en.wikipedia.org/wiki/Moira_Demos
Paul Giamatti,https://en.wikipedia.org/wiki/Paul_Giamatti
Guerrilla Girls,https://en.wikipedia.org/wiki/Guerrilla_Girls
Olivia Munn,https://en.wikipedia.org/wiki/Olivia_Munn
T. J. Miller,https://en.wikipedia.org/wiki/T._J._Miller
Scott Kelly,https://en.wikipedia.org/wiki/Scott_Kelly_(astronaut)
Abby Wambach,https://en.wikipedia.org/wiki/Abby_Wambach
Patricia Heaton,https://en.wikipedia.org/wiki/Patricia_Heaton
Quincy Jones,https://en.wikipedia.org/wiki/Quincy_Jones
DeRay Mckesson,https://en.wikipedia.org/wiki/DeRay_Mckesson
Charlie Day,https://en.wikipedia.org/wiki/Charlie_Day
Colin Hanks,https://en.wikipedia.org/wiki/Colin_Hanks
James Spader,https://en.wikipedia.org/wiki/James_Spader
Brandon Marshall,https://en.wikipedia.org/wiki/Brandon_Marshall
Sarah Koenig,https://en.wikipedia.org/wiki/Sarah_Koenig
Christian Slater,https://en.wikipedia.org/wiki/Christian_Slater
Josh Radnor,https://en.wikipedia.org/wiki/Josh_Radnor
Steven Tyler,https://en.wikipedia.org/wiki/Steven_Tyler
Gaby Hoffmann,https://en.wikipedia.org/wiki/Gaby_Hoffmann
Donald Rumsfeld,https://en.wikipedia.org/wiki/Donald_Rumsfeld
