name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,Gender,occupation,political_party
Cobie Smulders,https://en.wikipedia.org/wiki/Cobie_Smulders,36,Canada,British Columbia,Vancouver,Canadian,,,F,"['Actress', 'model']",
Mika Brzezinski,https://en.wikipedia.org/wiki/Mika_Brzezinski,51,U.S.,New York,New York City,American,,"['Georgetown University', 'Williams College']",F,"['News presenter', ', author']",
Andy Serkis,https://en.wikipedia.org/wiki/Andy_Serkis,54,U.K.,Middlesex,Ruislip,British,"['The County College, Lancaster']",,M,"['Actor', 'film director', 'film producer']",
Michael Showalter,https://en.wikipedia.org/wiki/Michael_Showalter,48,U.S., New Jersey,Princeton,American,,,M,['Comedian'],
Ashton Kutcher,https://en.wikipedia.org/wiki/Ashton_Kutcher,40,U.S.,Iowa,Cedar Rapids,American,,,M,"['Actor', 'producer', 'entrepreneur']",
Al Gore,https://en.wikipedia.org/wiki/Al_Gore,70,U.S.,D.C., Washington,American,,"['Harvard University',  'Vanderbilt University']",M,['Vice President of the United States'],Democratic
Issa Rae,https://en.wikipedia.org/wiki/Issa_Rae,33,U.S.,California,Los Angeles,American,['Stanford University'],,F,"['Actress', 'writer', 'director', 'producer']",
Cillian Murphy,https://en.wikipedia.org/wiki/Cillian_Murphy,42,U.K.,County Cork,Douglas,British,"['Presentation Brothers College, Cork']",,M,['Actor'],
Kenneth Branagh,https://en.wikipedia.org/wiki/Kenneth_Branagh,57,U.K.,Ireland ,Belfast,British,['Royal Academy of Dramatic Art'],,M,"['Actor', filmmaker']",
Cara Delevingne,https://en.wikipedia.org/wiki/Cara_Delevingne,26,U.K,London,Hammersmith,British,,,F,"['Actress', 'model']",
Paul Bettany,https://en.wikipedia.org/wiki/Paul_Bettany,47,UK,London , ,British,['Drama Centre London'],,F,['Actor'],
Jessica Williams,https://en.wikipedia.org/wiki/Jessica_Williams_(actress),29,U.S. ,California,Los Angeles County,American,['California State University'],,F,"['Actress', 'comedian']",
Max Brooks,https://en.wikipedia.org/wiki/Max_Brooks,46,U.S.,New York,New York City,American,"['Pitzer College', 'American University']",,M,['Author'],
Matthew McConaughey,https://en.wikipedia.org/wiki/Matthew_McConaughey,48,U.S.,Texas  , Uvalde,American,,,M,"['Actor', 'producer', 'model', 'writer', 'director']",
Vanessa Bayer,https://en.wikipedia.org/wiki/Vanessa_Bayer,36,U.S.,Ohio,Cleveland,American,,['University of Pennsylvania'],F,"['Actress', 'Comedian']",
Dave Chappelle,https://en.wikipedia.org/wiki/Dave_Chappelle,45,U.S.,D.C., Washington,American,,,M,['Stand-up Comedian'],
James Van Der Beek,https://en.wikipedia.org/wiki/James_Van_Der_Beek,41,U.S.,Connecticut,Cheshire,American,,,M,['Actor'],
