name,wiki_link,age,country_born,state_born,city_born,nationality,gender,occupation,political_party
Ava DuVernay,https://en.wikipedia.org/wiki/Ava_DuVernay,46,U.S.,California,Long Beach,American,F,Entertainment and Show Business,
Guillermo del Toro,https://en.wikipedia.org/wiki/Guillermo_del_Toro,54,Mexico,Jalisco,Guadalajara,Mexican,M,Entertainment and Show Business,
Spike Lee,https://en.wikipedia.org/wiki/Spike_Lee,61,U.S.,Georgia,Atlanta,American,M,Entertainment and Show Business,
Morgan Spurlock,https://en.wikipedia.org/wiki/Morgan_Spurlock,47,U.S.,West Virginia,Parkersburg,American,M,Entertainment and Show Business,
Jay Duplass,https://en.wikipedia.org/wiki/Jay_Duplass,45,U.S.,Louisiana,New Orleans,American,M,Entertainment and Show Business,
Mark,https://en.wikipedia.org/wiki/Mark_Duplass,41,U.S.,Louisiana,New Orleans,American,M,Entertainment and Show Business,
Oliver Stone,https://en.wikipedia.org/wiki/Oliver_Stone,72,U.S.,New York,New York City,American,M,Entertainment and Show Business,
J. J. Abrams,https://en.wikipedia.org/wiki/J._J._Abrams,52,U.S.,New York,New York City,American,M,Entertainment and Show Business,
John Waters,https://en.wikipedia.org/wiki/John_Waters,72,U.S.,Maryland,Baltimore,American,M,Entertainment and Show Business,
Adam McKay,https://en.wikipedia.org/wiki/Adam_McKay,50,U.S.,Pennsylvania,Philadelphia,American,M,Entertainment and Show Business,
Zac Posen,https://en.wikipedia.org/wiki/Zac_Posen,38,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Isaac Mizrahi,https://en.wikipedia.org/wiki/Isaac_Mizrahi,57,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Benicio del Toro,https://en.wikipedia.org/wiki/Benicio_del_Toro,51,Puerto Rico,San Germn,,American,M,Entertainment and Show Business,
Russell Crowe,https://en.wikipedia.org/wiki/Russell_Crowe,54,New Zealand,Wellington,,New Zealand,M,Entertainment and Show Business,
Pedro Pascal,https://en.wikipedia.org/wiki/Pedro_Pascal,43,Chile,Santiago,,American,M,Entertainment and Show Business,
Gael García Bernal,https://en.wikipedia.org/wiki/Gael_Garc%C3%ADa_Bernal,39,Mexico,Jalisco,Guadalajara,Mexican,M,Entertainment and Show Business,
Sebastian Stan,https://en.wikipedia.org/wiki/Sebastian_Stan,36,Romania,Constana,,American,M,Entertainment and Show Business,
Paul Bettany,https://en.wikipedia.org/wiki/Paul_Bettany,47,UK,London,,British,F,Entertainment and Show Business,
John Cleese,https://en.wikipedia.org/wiki/John_Cleese,79,UK,Somerset,WestonsuperMare,British,M,Entertainment and Show Business,
Scott Speedman,https://en.wikipedia.org/wiki/Scott_Speedman,43,UK,London,Hammersmith,British,F,Entertainment and Show Business,
Theo James,https://en.wikipedia.org/wiki/Theo_James,33,UK,England,Oxford,British,M,Entertainment and Show Business,
Cole Sprouse,https://en.wikipedia.org/wiki/Cole_Sprouse,26,Italy,Tuscany,Arezzo,American,M,Entertainment and Show Business,
Joel Kinnaman,https://en.wikipedia.org/wiki/Joel_Kinnaman,38,Sweden,Stockholm,,Swedish,M,Entertainment and Show Business,
Alexander Skarsgård,https://en.wikipedia.org/wiki/Alexander_Skarsg%C3%A5rd42M,42,Sweden,Stockholm,,Swedish,M,Entertainment and Show Business,
Johnny Galecki,https://en.wikipedia.org/wiki/Johnny_Galecki,43,Belgium,Bree,,American,M,Entertainment and Show Business,
Antonio Banderas,https://en.wikipedia.org/wiki/Antonio_Banderas,58,Spain,Mlaga,,Spanish,M,Entertainment and Show Business,
Mark Consuelos,https://en.wikipedia.org/wiki/Mark_Consuelos,47,Spain,Zaragoza,,American,M,Entertainment and Show Business,
Nikolaj Coster-Waldau,https://en.wikipedia.org/wiki/Nikolaj_Coster-Waldau,48,Denmark,Rudkbing,,Danish,M,Entertainment and Show Business,
John Leguizamo,https://en.wikipedia.org/wiki/John_Leguizamo,54,Colombia,Bogot,,American,M,Entertainment and Show Business,
Oscar Isaac,https://en.wikipedia.org/wiki/Oscar_Isaac,39,Guatemala,Guatemala City,,American,M,Entertainment and Show Business,
Chris O'Dowd,https://en.wikipedia.org/wiki/Chris_O%27Dowd,39,Ireland,County Roscommon,Boyle,Irish,M,Entertainment and Show Business,
Allen Leech,https://en.wikipedia.org/wiki/Allen_Leech,37,Ireland,County Dublin,Killiney,Irish,M,Entertainment and Show Business,
Luke Bracey,https://en.wikipedia.org/wiki/Luke_Bracey,29,Australia,Sydney,,Australian,M,Entertainment and Show Business,
Liam Hemsworth,https://en.wikipedia.org/wiki/Liam_Hemsworth,28,Australia,Victoria,Melbourne,Australian,M,Entertainment and Show Business,
Jai Courtney,https://en.wikipedia.org/wiki/Jai_Courtney,32,Australia,New South Wales,Sydney,Australian,M,Entertainment and Show Business,
Hugh Jackman,https://en.wikipedia.org/wiki/Hugh_Jackman,50,Australia,New South Wales,Sydney,Australian,M,Entertainment and Show Business,
Gary Owen,https://en.wikipedia.org/wiki/Gary_Owen_(comedian),44,Ohio,Cincinnati,,American,M,Entertainment and Show Business,
Thomas Middleditch,https://en.wikipedia.org/wiki/Thomas_Middleditch,36,Canada,British Columbia,Nelson,Canadian,M,Entertainment and Show Business,
Jason Jones,https://en.wikipedia.org/wiki/Jason_Jones_(actor),45,Canada,Ontario,Hamilton,Canadian,M,Entertainment and Show Business,
Mike Myers,https://en.wikipedia.org/wiki/Mike_Myers,55,Canada,Ontario,Scarborough,American,M,Entertainment and Show Business,
Derrick Beckles,https://en.wikipedia.org/wiki/Derrick_Beckles,,Canada,Toronto,,Canadian,M,Entertainment and Show Business,
Joshua Jackson,https://en.wikipedia.org/wiki/Joshua_Jackson,40,Canada,British Columbia,Vancouver,Canadian,M,Entertainment and Show Business,
Ryan Reynolds,https://en.wikipedia.org/wiki/Ryan_Reynolds,42,Canada,British Columbia,Vancouver,American,M,Entertainment and Show Business,
